asOfDate,symbol,Sector,DilutedEPS,ROA,ROE,P/B Ratio,P/S Ratio,Net Profit Margin,Gross Profit Margin,Operating Margin,LTDTA Ratio,Quick Ratio,Cash Ratio,Enterprise Multiple,Operating Cash Flow Ratio,PE_Ratio,DE_Ratio,log re,price
2018-09-30,KIO.JO,Basic Materials,28.47545212821296,14.804648557114648,26.27159159224338,1.5118816269036657,1.6066895708323865,21.33243342718912,72.13273562289115,34.44364996443369,0.0,2.811325891301126,2.0775093879850592,7.919688227041123,4.90924779520817,21.71988214518301,0.3592915279130597,10.043657275208686,23009.380859375
2018-12-31,KIO.JO,Basic Materials,29.87,15.249559880097063,27.268859897901304,1.5746322980259682,1.5905421968053668,21.02788408966649,72.37397484964461,35.444505194095136,0.0,2.7219931271477664,2.0051546391752577,7.665917098328379,4.77402796041259,21.294569436307327,0.3651243856496417,10.462516337862082,34979.4609375
2019-03-31,KIO.JO,Basic Materials,33.54097963014713,16.714221627936624,30.24412501960684,1.740452838474242,1.619319598070129,21.44665757029366,72.41735653184264,37.19726520372482,0.0,2.6013081016171933,1.925418468189162,7.398484690777353,4.631922847620115,19.825673774783173,0.3756813024690538,10.65356697661318,42343.36328125
2019-06-30,KIO.JO,Basic Materials,39.57231120605186,19.23029881872565,35.26323451871977,2.0131300326909223,1.6932381255784712,22.59076794875192,72.2675369457842,39.74746095193785,0.0,2.445802885158209,1.8357922418522064,7.1087962248447765,4.47835936706471,17.281779119911455,0.3912333279263102,10.36571130202222,31752.009765625
2019-09-30,KIO.JO,Basic Materials,45.99656483195993,22.04293446000177,40.7423496407002,2.3245501256955308,1.798711719761501,24.035062926704533,72.33009775329408,42.5953469988272,0.0,2.3427051451540186,1.7811722665010887,6.872926944112251,4.403178091882049,14.535127260318408,0.4047883146531543,10.54368412450988,37937.07421875
2019-12-31,KIO.JO,Basic Materials,50.58,24.2885526060262,44.877173613027885,2.595942049897297,1.919103211936208,25.29205880065334,73.04503383370925,45.1567239635996,0.0,2.3877551020408165,1.810696692470092,6.775774154223432,4.504182182523516,12.575499981465006,0.4085725107314199,10.145481838289248,25475.73828125
2020-03-31,KIO.JO,Basic Materials,53.30214887697463,25.95174244186943,47.64415502223147,2.824986812842861,2.0528575803562656,26.35101394173816,74.39408747278334,47.408263183125015,0.0,2.57808025599035,1.922689867295098,6.816161108754375,4.777435957162476,11.411657361061872,0.4027015794124401,10.707503993034578,44689.953125
2020-06-30,KIO.JO,Basic Materials,54.2227301335515,27.059962146856325,49.095466562464594,3.0148496122656674,2.20120325617879,27.226598877191226,76.38152212687407,49.379346676894485,0.0,2.9133737511000097,2.1170203061003408,6.9922859863552045,5.223090031952943,11.01806694761645,0.3872691887531637,10.775410868424222,47830.12109375
2017-12-31,LHC.JO,Healthcare,0.7018220455284923,2.416832970272255,6.526992847307484,2.299831726640884,1.676178479385283,4.35898027214382,71.23340307955581,16.744200707504135,0.1615667384860523,0.7847841551765529,0.1549109058809641,37.78048622100803,9.166093480678166,23.66553411299168,1.4143549419829755,7.831736868062392,2519.30126953125
2018-03-31,LHC.JO,Healthcare,0.8042864216016604,2.776712265430965,7.6147307390505565,2.264222443745124,1.614284515489936,4.96295497507535,70.98700869422822,16.480295483863657,0.2066956497123203,0.9877828635999052,0.180879035252857,37.02521286113011,8.683091137846839,20.6469921987442,1.4431995053563047,7.744493149009009,2308.822998046875
2018-06-30,LHC.JO,Healthcare,0.9304300044326016,3.3104941308475,8.956107739351163,2.234916064799932,1.5640645509186422,5.743271103512436,70.80980928906033,16.230507491422745,0.2374407040869086,1.106982907527212,0.1983429650778372,35.3242998433992,8.31714013476925,17.935110248394935,1.4440192602649675,7.746380455983631,2313.1845703125
2018-09-30,LHC.JO,Healthcare,1.081,4.023810740381176,10.559131134352372,2.212134641605839,1.525928366114518,6.7055517711171655,70.704189373297,15.995401907356946,0.2533084666087578,1.1395316613551336,0.2070112235000692,32.646678182236336,8.072298527769775,15.541165587419057,1.4158745833847672,7.818625388762988,2486.485107421875
2018-12-31,LHC.JO,Healthcare,1.2547361179248315,4.911745370227154,12.410409730507222,2.196237637604825,1.5004968760742563,7.842169559732559,70.67249797858935,15.777818885979062,0.253877936643536,1.0836385723014883,0.2066427867289176,29.00580416231756,7.953271531500986,13.496859325057976,1.3585981416107993,7.854565364969656,2577.474609375
2019-03-31,LHC.JO,Healthcare,1.447111543081375,5.949342289116858,14.46166172408124,2.187347774663298,1.4879116578066132,9.122771675849384,70.7130308045897,15.581921245549616,0.2396319768631546,0.9433817823009898,0.1975382037777188,24.51201001024543,7.95857376836048,11.83531426743811,1.274378140149503,7.675516999797087,2154.9375
2019-06-30,LHC.JO,Healthcare,1.6276124793864812,6.741517249738849,15.91770743125125,2.159478323545902,1.4681550108536885,10.037835567979938,70.7458494846996,15.211036039949386,0.2206604527377163,0.7809176147588345,0.1870442027733817,21.829864748570365,7.962363003325675,10.512130101314266,1.1929871038240594,7.704085068171822,2217.3876953125
2019-09-30,LHC.JO,Healthcare,1.758,6.838630676675717,15.869780084012849,2.0855690642593334,1.4209523411872858,10.007011530071672,70.68790900592084,14.46322842006856,0.2074748442740776,0.6631529077342176,0.1828733862371195,23.913453580564862,7.836452954448979,9.55631399317406,1.1477331198902292,7.7873784808676785,2409.991455078125
2019-12-31,LHC.JO,Healthcare,1.8360047612404025,6.228118386101466,14.293546643370412,1.965675550715429,1.346371361184823,9.015003132763168,70.53834831572343,13.340530742538116,0.2003167061593826,0.5921290263506596,0.1851764887888181,30.818540796048023,7.580089167809159,8.98449387607708,1.1397139493578057,7.520776415062797,1846.0
2020-03-31,LHC.JO,Healthcare,1.861629857552357,4.928111954917162,11.230967832904062,1.8018480000935888,1.245667501828275,7.08820777940626,70.30028146923121,11.86123643472806,0.1991659263347434,0.5678586517945546,0.1938233061149911,42.39174453637688,7.198177463032079,8.796647065950133,1.168411867374035,7.430707082545968,1687.0
2020-06-30,LHC.JO,Healthcare,1.8360047612404025,2.935779369821046,6.673126409077736,1.5930304199933694,1.118177278117649,4.221009817330852,69.97257533035267,10.015157560826736,0.2039122970251803,0.5893185202835356,0.2088040700346665,58.68220112567428,6.688632558536611,8.98449387607708,1.2335395455246032,7.441906728051625,1706.0
2017-12-31,MDI.JO,Industrials,0.114,7.260279873034892,11.23863436320834,11.22049071737384,14.907613991850846,14.167633711028508,36.75533497223356,20.528401818456004,0.1530461228657391,2.800072310768217,1.3108109056911432,105.6245426591994,72.3883071645625,65.78947368421052,0.4687492896707177,7.111399399219048,1225.86181640625
2018-03-31,MDI.JO,Industrials,0.1136946371217473,6.948174332716573,11.17361816981083,10.22718173392164,13.178163881375912,13.537198859562965,34.95294040866072,19.43575410084609,0.1716041514358448,2.5703824196388307,1.184496155855554,99.3041537055972,68.7041895032418,65.88631881077372,0.5284478791154165,7.026155203316623,1125.6942138671875
2018-06-30,MDI.JO,Industrials,0.1129327201955418,6.6822526676812695,11.0823163493074,9.454647940685549,11.803925282579826,12.978721622231175,33.4521566328739,18.48691343116309,0.1841012749008694,2.362740353869805,1.0605376292734614,93.8610382957774,67.85687635469122,66.312360972934,0.5745293998166083,6.9961546489693935,1092.42431640625
2018-09-30,MDI.JO,Industrials,0.1116992273055685,6.464160791120807,10.963881501975724,8.910573711920783,10.797310160899633,12.494819538673484,32.26364565793548,17.687049342383443,0.1903297439097897,2.1779615809283857,0.9390599575627848,89.32660527242658,69.94176238698097,67.07847710920967,0.6065204687995747,6.899683052161388,991.9602661132812
2018-12-31,MDI.JO,Industrials,0.11,6.2970982524928,10.81917415922343,8.604743232958656,10.175511432842626,12.09207077202341,31.40569614292321,17.04745971189164,0.1901172220503637,2.0184652865317867,0.8214463225336721,85.76596142306504,74.98423256046594,68.18181818181819,0.6238349315627019,6.978136151593448,1072.916748046875
